id,name
RSC_DM 150,RSC_Producing and Directing (3.00)
MTSJC_ART- 118,MTSJC_Watercolor/Mixed Media (3.00)
FRESNO_BA 10H,FRESNO_Honors Introduction to Business (3.00)
SHASTA_ART 50B,SHASTA_Intermediate Printmaking (3.00)
MESA_ARCH 175,MESA_Advanced Architectural Design I (5.00)
SHASTA_ESCI 12,SHASTA_General Earth Science (4.00)
TAHOE_PSY 107,TAHOE_Theories of Personality (4.00)
UCSD_LTGK 2,UCSD_Intermediate Greek I (4.00)
FEATHER_GEOG 102,FEATHER_Physical Geography (3.00)
CRC_ENGLT 365,CRC_Introduction to Gay. Lesbian. Bisexual and Transgender Literature (3.00)
ARC_POLS 481,ARC_Introduction to Government: United States-Honors (3.00)
VENTURA_HIST V53,VENTURA_United States History: Focus on Women since 1860 (3.00)
RSC_DNCE 111,RSC_Intermediate Mexican Folk Dance (1.00)
MISSION_PSY 010,MISSION_Social Psychology (3.00)
HARTNELL_OCN 1,HARTNELL_Oceanography (3.00)
PALOVRDE_PHY 110,PALOVRDE_General Physics I (4.00)
UCLA_CHIN 80,UCLA_Chinese Cinema: Pictures. Prisms. Products. Projections (5.00)
RCC_GER 2,RCC_German 2 (5.00)
GMCC_CHEM 141,GMCC_General Chemistry I (5.00)
VENTURA_PHSO V01,VENTURA_Human Physiology (4.00)
SFCITY_PHYC 20,SFCITY_Physics of Sports (3.00)
CANYONS_PHILOS 110,CANYONS_History of Ancient Philosophy (3.00)
EVERGRN_HIST 15,EVERGRN_South Asian History Since 1947 (3.00)
RIOHONDO_CIT 127,RIOHONDO_Python Programming I (3.00)
BAKERFLD_MUSC B21B,BAKERFLD_History of Music (3.00)
AHC_PHTO 101,AHC_Histories of Photography (3.00)
LAWC_POL SCI 060,LAWC_Introduction to Globalization (3.00)
MTSJC_MUS- 100H,MTSJC_Honors Introduction and Appreciation of Music (3.00)
YUBA_ENGL 46B,YUBA_Introduction to British Literature II (3.00)
MATEO_CIS 264,MATEO_Computer Organization and Systems Programming (4.00)
UCSB_FR 50BX,UCSB_Tales of Love in the Western Tradition (4.00)
LAMC_SOC 002,LAMC_American Social Problems (3.00)
SFCITY_PHIL 4,SFCITY_Introduction to Philosophy: Knowledge and Its Limits (3.00)
UCD_ECN 001AV,UCD_Principles of Microeconomics (4.00)
UCD_NPB 015,UCD_The Biology & Physiology of Aging (4.00)
UCD_RST 069,UCD_Introduction to Hindu Mythology (4.00)
SRC_MATH 25,SRC_Precalculus Algebra (4.00)
DIABLO_POLSC 120,DIABLO_Introduction to Politics (3.00)
UCD_GEL 055,UCD_Introduction to Geochemistry (3.00)
OXNARD_THTR R151,OXNARD_Acting I (3.00)
LBCC_PHIL 7,LBCC_Introduction to Ethics (3.00)
FULLRTON_ETHS 151 F,FULLRTON_Chicana/o History I (3.00)
CYPRESS_POSC 100 C,CYPRESS_United States Government (3.00)
MARIN_DRAM 150,MARIN_Introduction to Stagecraft (3.00)
SOLANO_ART 033,SOLANO_Intermediate Sculpture (3.00)
UCLA_EPS SCI 9,UCLA_Solar System and Planets (4.00)
DAC_ICS 7H,DAC_Intercultural Communications - HONORS (4.00)
CHABOT_THTR 11,CHABOT_Stage to Film (3.00)
UCB_SOCIOL 1,UCB_Introduction to Sociology (4.00)
SFCITY_HLTH 33,SFCITY_Introduction to Health and Wellness (2.00)
CLOVIS_HIST 35,CLOVIS_The History of East Asia: A Survey (3.00)
SHASTA_ESCI 14,SHASTA_Meteorology (3.00)
SOLANO_MATH 023,SOLANO_Differential Equations (4.00)
MTSAC_ITAL 60,MTSAC_Italian Culture through Cinema (3.00)
CHABOT_BIOS 44,CHABOT_Microbiology (5.00)
MTSJC_DAN- 131B,MTSJC_Advanced Beginning Hip Hop (2.00)
ARC_CISP 400,ARC_Object Oriented Programming with C++ (4.00)
RCC_ETS 20,RCC_Survey of African American Literature (3.00)
MCC_GEOG 6,MCC_World Regional Geography (3.00)
IRVINE_ECON 20,IRVINE_Introductory Economics (3.00)
GLENDALE_ANTHR 101,GLENDALE_Physical Anthropology (4.00)
SJCC_PHIL 14,SJCC_Introduction to Peace Studies (3.00)
YUBA_COMSC 8,YUBA_Digital Logic Fundamentals (4.00)
CONTRA_ART 165,CONTRA_Studio Photography (3.00)
CUYAMACA_MATH 285,CUYAMACA_Differential Equations (3.00)
DAC_HUMI 15,DAC_Discussion on the Arts (4.00)
UCSB_GER 43C,UCSB_Germany Today (4.00)
PORTER_SPAN P102,PORTER_Elementary Spanish (4.00)
LAEC_PHYSICS 2,LAEC_Mechanics of Fluids. Heat and. Sound (4.00)
FEATHER_ART 126,FEATHER_Color Theory (3.00)
UCI_MATH 13,UCI_Introduction to Abstract Mathematics (4.00)
DAC_DANC 37B,DAC_Theory and Technique of Jazz Dance II (1.00)
LANEY_ASAME 45A,LANEY_Asian-American History to 1945 (3.00)
FEATHER_ENVR 142,FEATHER_Introduction to Environmental Science (3.00)
UCM_GASP 007,UCM_Music in Society (4.00)
MATEO_PHIL 100,MATEO_Introduction to Philosophy (3.00)
OXNARD_GEOL R103L,OXNARD_Introduction to Oceanography Laboratory (1.00)
GAVILAN_CSIS 12L,GAVILAN_Assembly Language Programming Lab (1.00)
NAPA_THEA 115,NAPA_Acting Shakespeare (3.00)
SANTIAGO_PHYS 250A,SANTIAGO_Physics for Scientists and Engineering I (5.00)
LBCC_ART 71,LBCC_Printmaking. Intaglio (3.00)
DAC_CETH 19,DAC_Masculinities in U.S. Culture and Society (4.00)
MARIN_HIST 211,MARIN_Women in American History and Politics (3.00)
UCD_AAS 010,UCD_African-American Culture & Society (4.00)
CUESTA_BIO 212,CUESTA_Human Biology (3.00)
SKYLINE_GEOG 150,SKYLINE_World Regional Geography (3.00)
MIRACSTA_HIST 101H,MIRACSTA_World History Since 1500 (Honors) (3.00)
GLENDALE_SOC 114,GLENDALE_Social Psychology
VENTURA_THA V22B,VENTURA_Introduction to Costume Technology II (3.00)
SADDLBK_ARTH 23,SADDLBK_African. Oceanic. and Ancient North American Art (3.00)
MVC_ART 23,MVC_Design and Color Theory (3.00)
KRC_GEOL 10,KRC_Rocks. Fossils and Minerals (3.00)
SRC_PHIL 9,SRC_Political Philosophy (3.00)
DAC_ARTS 3TD,DAC_American Art (Public and Private) (4.00)
BAKERFLD_ENGL B5B,BAKERFLD_Survey of English Literature (3.00)
DAC_F/TV 1,DAC_Introduction to Cinematic Arts (4.00)
SBCC_CHST 101,SBCC_Mexican-American (Chicano) History in the U.S. (3.00)
UCD_ITA 008A,UCD_Italian Conversation (3.00)
CANADA_ART 205,CANADA_Drawing II (3.00)
GMCC_PHYC 240,GMCC_Electricity. Magnetism and Heat (4.00)
UCR_ANTH 7,UCR_Introduction to Linguistic Anthropology (4.00)
MONTEREY_THEA 7B,MONTEREY_Writing for the Theatre II (3.00)
BUTTE_BUS 20,BUTTE_Introduction to Business (3.00)
FULLRTON_THEA 284 F,FULLRTON_Intermediate Musical Theatre I (3.00)
SHASTA_AGEH 33,SHASTA_Environmental Horticulture (3.00)
ARC_PSYC 356,ARC_Human Sexuality (3.00)
SCC_CISP 400,SCC_Object Oriented Programming with C++ (4.00)
EVERGRN_MATH 071,EVERGRN_Calculus I with Analytic Geometry (5.00)
SBCC_GER 103,SBCC_Intermediate German I (5.00)
YUBA_COMSC 12,YUBA_JAVA Programming (3.00)
UCI_SOC SCI 5D,UCI_U.S. and World Geography (4.00)
PASADENA_ENGL 058,PASADENA_Queer Studies in Literature (3.00)
EVERGRN_PHYS 004A,EVERGRN_General Physics (5.00)
FEATHER_SOC 160,FEATHER_Globalization (3.00)
SBCC_ERTH 151,SBCC_Introductory Physical Oceanography (3.00)
TAHOE_HIS 105,TAHOE_Modern California History (4.00)
MIRAMAR_CHIC 110A,MIRAMAR_Introduction to Chicana and Chicano Studies (3.00)
GAVILAN_PHIL 9,GAVILAN_Philosophy of Religion (3.00)
MATEO_CIS 278,MATEO_(CS1)Programming Methods I: C++ (4.00)
BUTTE_GEOG 8,BUTTE_World Regional Geography (3.00)
SOLANO_MATH 031,SOLANO_Business Calculus II (3.00)
LACC_MUSIC 136,LACC_Music in American Culture (3.00)
SCC_GEOL 310,SCC_Historical Geology (3.00)
SKYLINE_SOCI 129,SKYLINE_Introduction to Research Methods (3.00)
YUBA_ANTHR 3,YUBA_Introduction to Archaeology (3.00)
UCB_LD ARCH 12,UCB_Environmental Science for Sustainable Development (4.00)
UCM_CSE 019,UCM_Introduction to Computing (4.00)
WCC_ENGL 30A,WCC_Introduction to American Literature. I (3.00)
OCC_ETHS A190,OCC_The Ethnic Family (3.00)
AVC_HIST 114,AVC_History of California (3.00)
DIABLO_DANCE 164A,DIABLO_Ballroom/Social Dance I (1.00)
UCLA_ENGL 10B,UCLA_Literatures in English. 1700 to 1850 (5.00)
DIABLO_ENGL 163,DIABLO_Asian American Literature (3.00)
MVC_MAT 32,MVC_Introduction to Symbolic Logic (3.00)
UCB_ICELAND 1B,UCB_Beginning Icelandic II (4.00)
PALOMAR_ART 103,PALOMAR_Intermediate Drawing (3.00)
SWSTRN_CIS 153,SWSTRN_Internet Programming using JAVA/J++ (4.00)
CERRO_PHIL C101,CERRO_Introduction to Philosophy (3.00)
IRVINE_TA 29H,IRVINE_Script Analysis: Honors (3.00)
MTSJC_ANTH- 111,MTSJC_Physical Anthropology Lab (1.00)
CONTRA_BIOSC 110,CONTRA_Introduction to Biological Sciences (4.00)
FOLSOM_ENGLT 303,FOLSOM_Introduction to the Short Story (3.00)
NORCO_ANT 8,NORCO_Language and Culture (3.00)
MIRAMAR_PHIL 205,MIRAMAR_Critical Thinking and Writing in Philosophy (3.00)
COLUMBIA_ART 15,COLUMBIA_History of Graphic Design (3.00)
COLUMBIA_SPAN 1B,COLUMBIA_Spanish: Beginning (5.00)
DAC_COMM 16H,DAC_Interpersonal Communication - HONORS (5.00)
DAC_ADMJ 25,DAC_Law and Social Change (4.00)
PASADENA_MUSC 002C,PASADENA_Musicianship III (1.00)
ARC_ENGLT 321,ARC_American Literature II (3.00)
